x,y
0,1.50E-13
0,1.56E-13
0,1.67E-13
0,2.03E-13
0,2.66E-13
0,3.65E-13
0,5.46E-13
0,9.24E-13
0,1.78E-12
0,2.65E-12
0,4.33E-12
0,7.76E-12
0,9.14E-12
0.00065,9.16E-12
0.00151233,9.19E-12
0.00267648,9.23E-12
0.00424809,9.29E-12
0.00636975,9.36E-12
0.00918449,9.46E-12
0.0129187,9.59E-12
0.0178728,9.77E-12
0.0244452,1.00E-11
0.0331646,1.04E-11
0.0447323,1.08E-11
0.0600788,1.15E-11
0.0804384,1.25E-11
0.106974,1.40E-11
0.139474,1.63E-11
0.171974,1.94E-11
0.204474,2.38E-11
0.236974,3.05E-11
0.269474,4.13E-11
0.301974,5.94E-11
0.334474,9.06E-11
0.366974,1.45E-10
0.399474,2.39E-10
0.431974,3.99E-10
0.464474,6.65E-10
0.496974,1.09E-09
0.529474,1.76E-09
0.561974,2.79E-09
0.594474,4.34E-09
0.626974,6.70E-09
0.65,9.06E-09
0,5.52E-20
0,4.27E-20
0,-6.79E-20
0,1.65E-13
0,2.55E-13
0,2.96E-13
0,3.18E-13
0,3.59E-13
0,4.65E-13
0,6.37E-13
0,9.38E-13
0,1.49E-12
0,1.98E-12
0,2.61E-12
0,3.73E-12
0,5.82E-12
0,9.96E-12
0,1.87E-11
0,3.11E-11
0.00065,3.12E-11
0.00149717,3.13E-11
0.00262107,3.14E-11
0.00411213,3.16E-11
0.00609025,3.18E-11
0.00871457,3.22E-11
0.0121349,3.26E-11
0.0165928,3.32E-11
0.0224029,3.40E-11
0.0298398,3.51E-11
0.039359,3.66E-11
0.0517658,3.87E-11
0.0682254,4.16E-11
0.0900618,4.58E-11
0.119032,5.23E-11
0.151532,6.10E-11
0.184032,7.20E-11
0.216532,8.67E-11
0.249032,1.08E-10
0.281532,1.44E-10
0.314032,2.09E-10
0.346532,3.45E-10
0.379032,6.47E-10
0.411532,1.34E-09
0.444032,2.93E-09
0.476532,6.44E-09
0.509032,1.39E-08
0.541532,2.93E-08
0.574032,6.04E-08
0.606532,1.21E-07
0.639032,2.33E-07
0.65,2.88E-07
0,1.18E-20
0,2.08E-20
0,-7.70E-20
0,5.88E-14
0,9.01E-14
0,1.02E-13
0,1.05E-13
0,1.09E-13
0,1.28E-13
0,1.61E-13
0,2.12E-13
0,3.03E-13
0,4.92E-13
0,9.18E-13
0,1.92E-12
0,4.13E-12
0,4.32E-12
0.00065,4.33E-12
0.00151233,4.34E-12
0.00267648,4.36E-12
0.00424809,4.39E-12
0.00636975,4.43E-12
0.00918449,4.48E-12
0.0129187,4.55E-12
0.0178728,4.64E-12
0.0244452,4.77E-12
0.0331646,4.95E-12
0.0447323,5.21E-12
0.0600788,5.58E-12
0.0804384,6.15E-12
0.106974,7.08E-12
0.139474,8.66E-12
0.171974,1.11E-11
0.204474,1.50E-11
0.236974,2.18E-11
0.269474,3.36E-11
0.301974,5.48E-11
0.334474,9.29E-11
0.366974,1.61E-10
0.399474,2.81E-10
0.431974,4.88E-10
0.464474,8.31E-10
0.496974,1.39E-09
0.529474,2.26E-09
0.561974,3.60E-09
0.594474,5.67E-09
0.626974,8.83E-09
0.65,1.20E-08
0,2.79E-20
0,3.46E-20
0,-7.43E-20
0,8.47E-14
0,1.30E-13
0,1.49E-13
0,1.58E-13
0,1.76E-13
0,2.25E-13
0,3.04E-13
0,4.41E-13
0,6.93E-13
0,9.24E-13
0,1.30E-12
0,1.99E-12
0,3.37E-12
0,6.33E-12
0,1.31E-11
0.00065,1.31E-11
0.00149717,1.32E-11
0.00262107,1.33E-11
0.00411213,1.33E-11
0.00609025,1.35E-11
0.00866841,1.36E-11
0.0118481,1.38E-11
0.0159924,1.41E-11
0.021297,1.44E-11
0.0283345,1.49E-11
0.0376709,1.55E-11
0.0500572,1.64E-11
0.0664897,1.78E-11
0.0882901,1.97E-11
0.117212,2.29E-11
0.149712,2.73E-11
0.182212,3.36E-11
0.214712,4.31E-11
0.247212,5.96E-11
0.279712,9.13E-11
0.312212,1.58E-10
0.344712,3.10E-10
0.377212,6.67E-10
0.409712,1.51E-09
0.442212,3.46E-09
0.474712,7.78E-09
0.507212,1.71E-08
0.539712,3.65E-08
0.572212,7.56E-08
0.604712,1.52E-07
0.637212,2.92E-07
0.65,3.73E-07
0,9.87E-19
0,4.20E-19
0,-2.28E-18
0,2.84E-11
0,4.73E-11
0,6.08E-11
0,7.01E-11
0,7.80E-11
0,8.27E-11
0,8.96E-11
0,1.01E-10
0,1.20E-10
0,1.56E-10
0,2.26E-10
0,2.92E-10
0,4.14E-10
0,6.65E-10
0,1.23E-09
0,2.54E-09
0,5.75E-09
0,8.85E-09
0,1.28E-08
0.00065,1.29E-08
0.00151233,1.29E-08
0.00267648,1.29E-08
